check,passed,detail
R0_hash_sentence_present,True,Main manuscript names both stable outputs manifest and final workbook hashes.
R1_nibp_audit_not_device_validation,True,"NIBP text is framed as agreement/mechanism audit, not formal device validation."
R2_nibp_flow_500_365_347_18,True,Main Results states the sampled-to-mechanism-to-paired-event flow.
R2_nibp_pairing_window_median,True,Pairing wording uses the configured window median and explicitly excludes nearest single-value pairing.
R3_sensitivity_terms_split,True,Paired-display diagnostic sensitivity/specificity are separated from trajectory-grid event sensitivity.
R4_table2_publication_ready_columns,True,Table 2 uses the required six-column publication layout.
R5_episode_denominator_no_unexplained_perfect_sensitivity,True,Episode denominator/offset discussion avoids obsolete hardening language and unexplained perfect sensitivity.
R6_strategy_relative_from_to,True,Strategy paragraph reports relative reductions with from/to HDR values.
R7_no_submission_residue,True,"Final main/supplement files do not contain draft, local-path, or older-version residues."
R8_figure3_agreement_caption,True,Figure 3 caption includes agreement-audit framing and Bland-Altman quantities.
R9_cohort_characteristics_wide_table,True,Clean wide cohort-characteristics table exists for supplementary reporting.
R11_final_claim_boundaries,True,"MoVeR, INSPIRE, and strategy conclusions remain within claim boundaries."
